RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
707,Adrex,48.2,Germany,Energy & Utilities,21660800,6657600,41,19,2011
708,Zenz Technologies,48.1,"Netherlands, Kingdom of the",IT & Software,4022484,1237236,19,10,2013
709,Journi App,48,Austria,IT & Software,22215918,6851838,52,24,2014
710,Inova Semiconductors,48,Germany,Electrical Manufacturing,56937200,17569200,44,36,1999
711,Storeis,48,Italy,Advertising & Marketing,5508457,1699831,66,21,2018
712,Aeroporto Guglielmo Marconi di Bologna,47.9,Italy,Logistics & Transportation,107413712,33172148,542,443,1981
713,Akajoule,47.9,France,Energy & Utilities,2949420,912041,46,19,2010
714,SOMI,47.9,Germany,Employment Services,26237843,8113807,193,65,2010
715,Intendo,47.8,Italy,IT & Software,1532385,474184,9,4,2017
716,RoomRaccoon,47.8,"Netherlands, Kingdom of the",IT & Software,5317785,1645850,96,40,2017
717,89up,47.6,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,6024230,1814236,45,26,2009
718,JK-Concepts,47.5,Germany,Automotive,18680878,5816353,1,1,2011
719,Masque Milano,47.5,Italy,Wholesale,1573266,490155,3,1,2010
720,Łukasz Borzęcki,47.5,Poland,IT & Software,11756969,3486194,44,18,2004
721,I'Mprinting,47.5,Italy,IT & Software,28493033,8881962,20,10,2017
722,Ciocomiti,47.5,Italy,Food & Beverages,2527840,788000,23,8,2016
723,T'a Milano,47.4,Italy,Food & Beverages,12560781,3920729,96,44,2008
724,Solarservice Norddeutschland,47.2,Germany,Energy & Utilities,12984000,4069000,64,27,2015
725,Prolific,47.2,United Kingdom of Great Britain and Northern Ireland,IT & Software,16251832,4939037,143,41,2014
726,Pro Contact,47.1,"Netherlands, Kingdom of the",Employment Services,6125229,1922536,52,34,2012
727,Hackmann Hotels,47.1,Germany,Hospitality & Travel,11416000,3585000,155,90,1986
728,Hostersi,47.1,Poland,IT & Software,10858477,3244424,42,36,2007
729,PAIR Finance,47.1,Germany,"Fintech, Financial Services & Insurance",29365000,9226000,250,92,2016
730,DS GLASS,47,Italy,Wholesale,27907440,8777797,12,10,2013
731,WordUnited,47,United Kingdom of Great Britain and Northern Ireland,Ecommerce,10821548,3299809,25,14,2013
732,ClubFunding Group,46.8,France,"Fintech, Financial Services & Insurance",41350000,13072000,191,72,2005
733,Seenovate,46.6,France,IT & Software,26405034,8374023,159,69,2009
734,Pilastro,46.6,Italy,Logistics & Transportation,9550219,3030760,6,6,2009
735,ins-pi,46.6,Germany,IT & Software,5616542,1783370,35,10,2015
736,power2Cloud,46.6,Italy,IT & Software,2199832,698634,10,7,2016
737,Exceed,46.5,United Kingdom of Great Britain and Northern Ireland,Energy & Utilities,32795005,10101993,76,42,2005
738,Monogrid,46.5,Italy,IT & Software,4302748,1368668,53,12,2016
739,Linking Talents,46.5,France,Employment Services,37420000,11907000,261,75,2018
740,MijnWerkgever.nl,46.4,"Netherlands, Kingdom of the","Fintech, Financial Services & Insurance",6887104,2193483,8,1,2018
741,Liqid Investment,46.4,Germany,"Fintech, Financial Services & Insurance",10904257,3474991,109,76,2015
742,Sinay,46.4,France,IT & Software,6224644,1984574,88.08,49.94,2008
743,LA-Grossküchenservice,46.3,Germany,Wholesale,2974012,948867,9,3,2013
744,Rets,46.3,Poland,Real Estate,17150191,5206024,263,98,2014
745,AP Italian Luxury,46.3,Italy,Apparel & Fashion,13457533,4301033,16,6,2016
746,Emma,46.2,Italy,Food & Beverages,4200167,1343399,34,30,2013
747,Errevi Automation,46.2,Italy,Logistics & Transportation,24094155,7709167,124,77,1992
748,Caria Holidays,46.2,United Kingdom of Great Britain and Northern Ireland,Hospitality & Travel,10277486,3186471,20,12,2015
749,Web al Chilo,46.2,Italy,Ecommerce,8068199,2582348,17,10,2013
750,MCO (MyComplianceOffice),46.2,Ireland,"Fintech, Financial Services & Insurance",40706011,11767453,322,117,1998
751,OCM,46.1,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,15081971,4831625,45,17,2014
752,Alchemy Global Solutions,46,Ireland,IT & Software,658999380,211651563,310,66,2017
753,Intellienergy Tech,46,Italy,IT & Software,5816587,1869890,11,9,2015
754,ITDS,45.8,Poland,IT & Software,28063064,8608108,377,62,2015
755,Comer Industries,45.6,Italy,Manufacturing,1223938000,396207000,3693,1335,1970
